step,mid,spread,bid_depth,ask_depth,shock,vwap
1,100.0,0.1,100,89,False,
2,100.0,0.1,67,139,False,
3,100.125,0.15,117,50,False,100.064
4,100.0,0.24,59,95,True,
5,100.0,0.1,109,83,False,
6,100.16,0.38,124,20,True,100.2214
7,100.035,0.13,174,50,False,
8,100.0,0.1,145,100,False,
9,100.125,0.15,195,50,False,100.075
10,100.075,0.05,245,50,False,
11,100.0,0.1,199,100,False,
12,100.125,0.15,249,50,False,100.075
13,100.05,0.0,253,100,False,
14,100.05,0.0,303,82,False,
15,100.2,0.3,212,20,True,100.1863
16,100.0,0.1,228,70,False,
17,100.0,0.1,171,88,True,
18,100.125,0.15,221,50,False,100.2136
19,100.0,0.1,181,100,False,
20,100.0,0.1,231,71,False,
